rqvi_candidate,rqvi_seed,rqvi_gp,informative
seed2:GP207,2,GP207,True
seed2:GP208,2,GP208,True
seed2:GP209,2,GP209,True
seed2:GP210,2,GP210,True
seed2:GP211,2,GP211,True
seed2:GP212,2,GP212,True
seed2:GP213,2,GP213,True
seed2:GP214,2,GP214,True
seed2:GP215,2,GP215,True
seed2:GP216,2,GP216,True
seed2:GP217,2,GP217,True
seed2:GP218,2,GP218,True
seed2:GP219,2,GP219,True
seed2:GP220,2,GP220,True
seed2:GP221,2,GP221,True
seed2:GP222,2,GP222,True
seed2:GP223,2,GP223,True
seed2:GP224,2,GP224,True
seed2:GP225,2,GP225,True
seed2:GP226,2,GP226,True
seed2:GP227,2,GP227,True
seed2:GP228,2,GP228,True
seed2:GP229,2,GP229,True
seed2:GP230,2,GP230,True
seed2:GP231,2,GP231,True
seed2:GP232,2,GP232,True
seed2:GP233,2,GP233,True
seed2:GP234,2,GP234,True
seed2:GP235,2,GP235,True
seed2:GP236,2,GP236,True
seed2:GP237,2,GP237,True
seed2:GP238,2,GP238,True
seed2:GP239,2,GP239,True
seed2:GP240,2,GP240,True
seed2:GP241,2,GP241,True
seed2:GP242,2,GP242,True
seed2:GP243,2,GP243,True
seed2:GP244,2,GP244,True
seed2:GP245,2,GP245,True
seed2:GP246,2,GP246,True
seed2:GP247,2,GP247,True
seed2:GP248,2,GP248,True
seed2:GP249,2,GP249,True
seed2:GP250,2,GP250,True
seed2:GP251,2,GP251,True
seed2:GP252,2,GP252,True
seed2:GP253,2,GP253,True
seed2:GP254,2,GP254,True
seed2:GP255,2,GP255,True
seed3:GP0,3,GP0,True
seed3:GP1,3,GP1,True
seed3:GP2,3,GP2,True
seed3:GP3,3,GP3,True
seed3:GP4,3,GP4,True
seed3:GP5,3,GP5,True
seed3:GP6,3,GP6,True
seed3:GP7,3,GP7,True
seed3:GP8,3,GP8,True
seed3:GP9,3,GP9,True
seed3:GP10,3,GP10,True
seed3:GP11,3,GP11,True
seed3:GP12,3,GP12,True
seed3:GP13,3,GP13,True
seed3:GP14,3,GP14,True
seed3:GP15,3,GP15,True
seed3:GP16,3,GP16,True
seed3:GP17,3,GP17,True
seed3:GP18,3,GP18,True
seed3:GP19,3,GP19,True
seed3:GP20,3,GP20,True
seed3:GP21,3,GP21,True
seed3:GP22,3,GP22,True
seed3:GP23,3,GP23,True
seed3:GP24,3,GP24,True
seed3:GP25,3,GP25,True
seed3:GP26,3,GP26,True
seed3:GP27,3,GP27,True
seed3:GP28,3,GP28,True
seed3:GP29,3,GP29,True
seed3:GP30,3,GP30,True
seed3:GP31,3,GP31,True
seed3:GP32,3,GP32,True
seed3:GP33,3,GP33,True
seed3:GP34,3,GP34,True
seed3:GP35,3,GP35,True
seed3:GP36,3,GP36,True
seed3:GP37,3,GP37,True
seed3:GP38,3,GP38,True
seed3:GP39,3,GP39,True
seed3:GP40,3,GP40,True
seed3:GP41,3,GP41,True
seed3:GP42,3,GP42,True
seed3:GP43,3,GP43,True
seed3:GP44,3,GP44,True
seed3:GP45,3,GP45,True
seed3:GP46,3,GP46,True
seed3:GP47,3,GP47,True
seed3:GP48,3,GP48,True
seed3:GP49,3,GP49,True
seed3:GP50,3,GP50,True
seed3:GP51,3,GP51,True
seed3:GP52,3,GP52,True
seed3:GP53,3,GP53,True
seed3:GP54,3,GP54,True
seed3:GP55,3,GP55,True
seed3:GP56,3,GP56,True
seed3:GP57,3,GP57,True
seed3:GP58,3,GP58,True
seed3:GP59,3,GP59,True
seed3:GP60,3,GP60,True
seed3:GP61,3,GP61,True
seed3:GP62,3,GP62,True
seed3:GP63,3,GP63,True
seed3:GP64,3,GP64,True
seed3:GP65,3,GP65,True
seed3:GP66,3,GP66,True
seed3:GP67,3,GP67,True
seed3:GP68,3,GP68,True
seed3:GP69,3,GP69,True
seed3:GP70,3,GP70,True
seed3:GP71,3,GP71,True
seed3:GP72,3,GP72,True
seed3:GP73,3,GP73,True
seed3:GP74,3,GP74,True
seed3:GP75,3,GP75,True
seed3:GP76,3,GP76,True
seed3:GP77,3,GP77,True
seed3:GP78,3,GP78,True
seed3:GP79,3,GP79,True
seed3:GP80,3,GP80,True
seed3:GP81,3,GP81,True
seed3:GP82,3,GP82,True
seed3:GP83,3,GP83,True
seed3:GP84,3,GP84,True
seed3:GP85,3,GP85,True
seed3:GP86,3,GP86,True
seed3:GP87,3,GP87,True
seed3:GP88,3,GP88,True
seed3:GP89,3,GP89,True
seed3:GP90,3,GP90,True
seed3:GP91,3,GP91,True
