rqvi_candidate,rqvi_seed,rqvi_gp,informative
seed2:GP75,2,GP75,True
seed2:GP76,2,GP76,True
seed2:GP77,2,GP77,True
seed2:GP78,2,GP78,True
seed2:GP79,2,GP79,True
seed2:GP80,2,GP80,True
seed2:GP81,2,GP81,True
seed2:GP82,2,GP82,True
seed2:GP83,2,GP83,True
seed2:GP84,2,GP84,True
seed2:GP85,2,GP85,True
seed2:GP86,2,GP86,True
seed2:GP87,2,GP87,True
seed2:GP88,2,GP88,True
seed2:GP89,2,GP89,True
seed2:GP90,2,GP90,True
seed2:GP91,2,GP91,True
seed2:GP92,2,GP92,True
seed2:GP93,2,GP93,True
seed2:GP94,2,GP94,True
seed2:GP95,2,GP95,True
seed2:GP96,2,GP96,True
seed2:GP97,2,GP97,True
seed2:GP98,2,GP98,True
seed2:GP99,2,GP99,True
seed2:GP100,2,GP100,True
seed2:GP101,2,GP101,True
seed2:GP102,2,GP102,True
seed2:GP103,2,GP103,True
seed2:GP104,2,GP104,True
seed2:GP105,2,GP105,True
seed2:GP106,2,GP106,True
seed2:GP107,2,GP107,True
seed2:GP108,2,GP108,True
seed2:GP109,2,GP109,True
seed2:GP110,2,GP110,True
seed2:GP111,2,GP111,True
seed2:GP112,2,GP112,True
seed2:GP113,2,GP113,True
seed2:GP114,2,GP114,True
seed2:GP115,2,GP115,True
seed2:GP116,2,GP116,True
seed2:GP117,2,GP117,True
seed2:GP118,2,GP118,True
seed2:GP119,2,GP119,True
seed2:GP120,2,GP120,True
seed2:GP121,2,GP121,True
seed2:GP122,2,GP122,True
seed2:GP123,2,GP123,True
seed2:GP124,2,GP124,True
seed2:GP125,2,GP125,True
seed2:GP126,2,GP126,True
seed2:GP127,2,GP127,True
seed2:GP128,2,GP128,True
seed2:GP129,2,GP129,True
seed2:GP130,2,GP130,True
seed2:GP131,2,GP131,True
seed2:GP132,2,GP132,True
seed2:GP133,2,GP133,True
seed2:GP134,2,GP134,True
seed2:GP135,2,GP135,True
seed2:GP136,2,GP136,True
seed2:GP137,2,GP137,True
seed2:GP138,2,GP138,True
seed2:GP139,2,GP139,True
seed2:GP140,2,GP140,True
seed2:GP141,2,GP141,True
seed2:GP142,2,GP142,True
seed2:GP143,2,GP143,True
seed2:GP144,2,GP144,True
seed2:GP145,2,GP145,True
seed2:GP146,2,GP146,True
seed2:GP147,2,GP147,True
seed2:GP148,2,GP148,True
seed2:GP149,2,GP149,True
seed2:GP150,2,GP150,True
seed2:GP151,2,GP151,True
seed2:GP152,2,GP152,True
seed2:GP153,2,GP153,True
seed2:GP154,2,GP154,True
seed2:GP155,2,GP155,True
seed2:GP156,2,GP156,True
seed2:GP157,2,GP157,True
