gp_idx,frac_active_cells,n_active_genes,pve
170,0.0017090537239381,7,0.0005335318818218226
171,0.0456142178120324,0,0.0012166771910042508
172,0.0549816627846055,0,0.0034073063800241984
173,0.0026401171561851,11,0.0007497836740651496
174,0.0001814784656074,1,1.4736761181673896e-05
175,0.005646347390813,9,0.004620291620620986
176,0.0017279906073058,27,0.0009468140123444246
177,0.0046726759709886,6,0.0016425485944584247
178,0.0142957688690262,2,0.0016379590546723966
179,0.0067178593747041,2,0.0013507155231652478
180,0.0019410305451928,9,0.0007128866285920461
181,0.0308087311656914,0,0.0016759338678760587
182,0.0218515853327526,0,0.0018698779634882718
183,0.0636831606920799,1,0.005562618155398811
184,0.0075952683040758,5,0.0018093769411833694
185,0.0209126315324357,0,0.0010990927251211357
186,0.0098566477929062,6,0.0025383693397815522
187,0.0014944357124371,28,0.002040393705596218
188,0.0004450167591417,63,0.0005295652930599843
189,0.0040304000100996,14,0.0017376406908834042
190,0.0088009165451549,1,0.0011425955647411574
191,0.0033360476199493,1,0.0007323861464252362
192,0.0015496682889263,2,0.000227173103396202
193,0.0019804823855423,5,0.000448883589870796
194,0.0606974454144336,1,0.003640584800508598
195,0.0014881234179812,8,0.0004828663759742685
196,0.0952698821494625,2,0.0082989049787704
197,6.470101817309574e-05,48,6.09271093444505e-05
198,0.00486362287828,1,0.00040024128671248423
199,0.0034938549813471,1,0.0003703200927387292
200,0.0132652867990986,3,0.0018645405951768503
201,0.005289702754054,4,0.0006354750671516422
202,0.0067841384664911,3,0.0008349547588247883
203,0.0010115451865598,0,0.0001126946391430401
204,0.0029036554497194,0,0.000494157056945368
205,0.0023481735375991,1,0.0003467229675170652
206,0.0140637920477714,0,0.0009856691500164949
207,0.0,42,0.0
208,0.0004371263910718,8,0.0001296017282684118
209,0.0474668762348426,1,0.003372775885830677
210,0.0045338054929586,4,0.0010180154784068982
211,0.0116461832711572,0,0.0012174858810333612
212,0.1134287752255067,0,0.004401210766952816
213,0.0001436046988719,16,4.656573999339121e-05
214,0.0011141199714684,7,0.0003432050158635412
215,0.005078240889781,5,0.001155697629586591
216,0.0002272426004128,13,0.00011552720391630274
217,0.0001988372753612,16,9.577868738720476e-05
218,0.012588293218702,0,0.001181628759717622
219,0.0047531577253015,0,0.00041710432862550784
220,0.0292085645211177,0,0.0035460390580555144
221,0.0031356322709741,1,0.000521830603190165
222,0.0009152826961072,15,0.00041746464633654704
223,0.0003882061090385,56,0.00024033686759337083
224,5.838872371718396e-05,11,2.113419781721939e-05
225,0.0009689371989824,8,0.00022056976129890708
226,0.0095268304075848,0,0.0013452127185315384
227,0.0537081573781253,1,0.0027015066981382722
228,0.030761388957272,0,0.001991700199194412
229,0.0014486715776317,8,0.0004535098319307214
230,0.0026685224812367,0,0.0002759586772999659
231,0.0538407155616995,0,0.0024003301811871347
232,0.1593554516131068,0,0.003291755245484829
233,0.0018416119075122,5,0.0003421625578733063
234,0.0002004153489751,8,5.927085522639777e-05
235,0.1107271131983764,0,0.008197063131951026
236,0.0224717682630459,0,0.001161506243847232
237,0.000566528427418,10,0.00015298769294202564
238,6.943523901502957e-05,0,5.6171231797185265e-06
239,0.0011488375909759,5,0.0005749954789722177
240,0.0002067276434311,8,7.43169791558251e-05
241,0.0024712632794894,11,0.001049279882003458
242,0.0047436892836177,2,0.0005494400642277323
243,0.0026369610089571,3,0.000626265033608543
244,0.0004544852008256,4,0.00011647460750035328
245,0.0146382108432594,0,0.0006880935913156109
246,0.0073822283661888,0,0.0007140039105506011
247,0.0516992696675314,0,0.002951172114239615
248,0.0029004993024914,3,0.0009317190004943413
249,0.0163504207144254,0,0.0007073909097185166
250,0.005576912151798,4,0.0009998544813827647
251,0.0001593854350117,1,3.3233259853320493e-05
252,4.734220841933834e-06,67,6.835273526408802e-06
253,0.0010983392353286,8,0.00041109729096887337
254,0.0038315627347384,3,0.0005080003627404917
255,0.000713289273518,1,0.00014557570542316948
