gp_idx,total_loading,mean_loading,frac_active,entropy,f_stat_level1,f_stat_cluster,eta_sq_level1,eta_sq_cluster,gini_cluster,n_strong_genes,max_gene_effect,match_count,mean_corr,group_idx,within_group_pos
104,14324.913805043292,0.02260576849824722,0.02980981056804338,9.619252917512394,377.69990598569154,86.79700463349432,0.004745744286140173,0.01524463159399369,0.5962969271680576,114,0.2243129,0,,26,0
105,11431.648958482694,0.018039983585639994,0.018542364964240853,9.352334122225576,3213.5978347151195,413.27200498342796,0.03898910369514855,0.06864885214365807,0.6619100174471975,483,0.4938482,0,,26,1
106,3235.5064780472917,0.005105867400861142,0.005168191085777769,8.087364689455356,550.965741018268,278.01144110868233,0.006907765637652592,0.04724208667963781,0.8799893009179846,1236,1.3423939,0,,26,2
107,11152.47625808663,0.017599428513401995,0.026931404296147606,9.430267656811383,414.5144504741258,107.48028693581334,0.005205905581037369,0.018809021471892094,0.599935351921992,442,0.62839735,1,0.693880516232097,26,3
108,19639.528605277184,0.030992621882952993,0.035063217628975955,9.921751722808995,298.75087037183624,91.75920278225243,0.0037574885221029176,0.01610213591228594,0.5418713819551325,432,0.4986161,2,0.5959900871494437,27,0
109,3991.656469618897,0.006299127750769937,0.006436962271416037,8.30031397612876,190.12790252448315,134.30373808514264,0.0023945729579427644,0.02339330779925267,0.7186435650304237,1012,0.73634183,0,,27,1
110,196.82128463135325,0.00031059847594598134,0.00031403664918161104,5.286573385684832,24.424609296401087,32.5625307226396,0.00030825997764640054,0.005774136489285459,0.9148069105914421,531,0.34059048,0,,27,2
111,6061.848167854351,0.0095660426456315,0.009941863768061053,8.722548169265849,82.9442519964705,186.25464990698362,0.0010460565762097074,0.03215129252585836,0.6646726327368263,2201,0.75781536,5,0.7423714208764048,27,3
112,3998.598192648534,0.006310082300718551,0.0064132911672063675,8.29764213120214,4252.124707784834,553.7854203883265,0.050947139970793254,0.08989148105241068,0.8849798973404039,1798,1.6521453,0,,28,0
113,5891.419491910387,0.009297093649059132,0.009624670971651485,8.692122828254682,166.3740760633131,53.9698773670283,0.0020960315713541423,0.009533993351013046,0.5494372797027756,1349,1.2173593,0,,28,1
114,11294.439489217431,0.017823456942604565,0.018922680705209537,9.35739127159842,679.7648564879174,214.41014782889113,0.008508851862831925,0.036832483429063145,0.6448638237395019,626,0.50697243,7,0.7591219112860182,28,2
115,6168.952122075201,0.009735060569740125,0.009938707620833096,8.73523320299363,197.45742468310777,114.16833935888316,0.0024866553500971712,0.019956072123242036,0.6279715215710103,789,0.442052,8,0.6306485934817487,28,3
116,3750.590329611613,0.0059187076360009295,0.005985633217818345,8.23383609607873,2631.465365416349,389.9264762249169,0.03215344996052036,0.06502306835074634,0.8649903507543096,1481,1.9067392,0,,29,0
117,11896.970005046669,0.018774294451251207,0.02153754868357099,9.443353761786803,42.60330267274794,66.8565870348858,0.0005375676870808304,0.011783656476394599,0.4635678176774946,341,0.29782784,0,,29,1
118,18796.22260647047,0.0296618229377268,0.03088447869916236,9.856618207792877,407.98804746363686,102.79184699179889,0.005124360212990426,0.018003317020240803,0.421121715351898,468,0.42428255,3,0.5668913339958151,29,2
